text,label,notes
"I've been watching a lot of Nuggets games lately and I think people are sleeping on Michael Porter Jr's defensive improvement. He's gone from being a liability on that end to a legitimate plus defender, and the numbers back it up. According to Basketball-Reference, Porter's defensive box plus/minus has jumped from -2.3 in 2020-2021 to 0.5 this season. He's also seen significant increases in his steal and block percentages, and his overall defensive rating has dropped from 114.1 to 108.5.

What's really interesting is how Porter's defensive growth is tied to his improved footwork and closeout technique. If you watch the tape, you'll see that he's doing a much better job of staying in front of his man and contesting shots without fouling. The Nuggets are also using him more frequently in switching situations, and he's shown the ability to keep up with quicker guards. For example, in their recent win over the Grizzlies, Porter had a crucial sequence where he switched onto Ja Morant and forced him into a tough miss. It's plays like those that are making me think Porter could be a key contributor to a deep Nuggets playoff run.

The advanced metrics also suggest that Porter's defense is having a positive impact on the team's overall performance. When he's on the court, the Nuggets are allowing just 105.2 points per 100 possessions, compared to 112.1 when he's off. That's a significant difference, and it's not just due to the fact that he's playing alongside other good defenders - Porter's individual defensive numbers are holding up even when you isolate him from the rest of the team. I think it's time to start giving him more credit for his work on the defensive end, and I'm excited to see how he continues to develop as the season wears on.",analysis,
"I've been watching a lot of Nikola Jokic's game tape and I think people are sleeping on his ability to score in the post. He's got a true shooting percentage of 64.4% on post-ups this season, which is 5th in the league among players with at least 100 post-up attempts. What's even more impressive is that he's able to score efficiently against both single and double teams - his PPP on post-ups against single coverage is 1.04, and it actually increases to 1.09 when he's doubled. 

If you look at the Nuggets' offense as a whole, they're 4th in the league in points per possession on post-ups, and Jokic is the main reason why. He's got a variety of moves that he can go to, including a fadeaway jumper, a hook shot, and even a little jump hook that he's developed this season. And what's really unique about Jokic is that he's able to use his vision and passing ability to exploit double teams - he's got a 14.1% assist percentage on post-ups, which is absurdly high for a big man. 

I think the key to defending Jokic in the post is to try to cut off his right hand - he's got a much higher true shooting percentage on post-ups when he's going to his right (71.1%) compared to when he's going to his left (55.6%). The Lakers did a good job of this in their playoff series against the Nuggets last year, using a combination of Anthony Davis and Marc Gasol to defend Jokic and limit his scoring opportunities in the post. If teams can find a way to neutralize Jokic's post game, they might be able to slow down the Nuggets' offense and give themselves a chance to win.",analysis,
"I've been watching the Nuggets' recent games and I think their pick-and-roll defense is a major concern. Specifically, they're struggling to contain guards who can shoot off the dribble, like Damian Lillard and Stephen Curry. According to Second Spectrum, the Nuggets are allowing 1.23 points per possession on pick-and-rolls where the ball handler shoots, which ranks 25th in the league. This is largely due to their strategy of switching on screens, which leaves their big men to guard quick guards on the perimeter. Nikola Jokic, in particular, is having trouble staying in front of these guards, and it's resulting in open threes or easy layups.

In their last game against the Warriors, Curry exploited this defense repeatedly, going 5-7 from three off pick-and-rolls. The Nuggets tried to mix it up by having their guards fight over the screens, but Curry's ability to reject the screen and shoot from 28 feet made it almost impossible to defend. I think the Nuggets need to consider a different approach, like having their big men hedge harder on the screens or using more drop coverage to protect the paint. This would require a bit of an adjustment from Jokic, who would need to be more aggressive in his closeouts and trust his guards to recover to the shooter. 

It's worth noting that the Nuggets' pick-and-roll defense was a strength last season, ranking 10th in the league in points per possession allowed. However, they've lost some key personnel on the defensive end, including Torrey Craig and Jerami Grant, and it's clear that they're still trying to find their footing. With some tweaks to their strategy and a bit more cohesion, I think the Nuggets can get back to being a top-tier defensive team. They just need to figure out how to contain these high-level guards and make the necessary adjustments to their pick-and-roll defense.",analysis,
"I've been watching a lot of Giannis footage lately and I think people are sleeping on his improvement as a playmaker. His assist percentage has jumped from 21.5% to 28.5% this season, and he's doing it while maintaining a turnover percentage below 15%. This is significant because it allows the Bucks to run their offense through him even when he's not scoring, which is a huge advantage. For example, in their recent win over the Celtics, Giannis had 8 assists and only 2 turnovers, and the Bucks outscored the Celtics by 15 points when he was on the court. 

One specific aspect of his game that's impressive is his ability to read defenses and make the right pass. He's developed a particularly effective chemistry with Bobby Portis, who's shooting 45% from three on catch-and-shoot opportunities. Giannis is recognizing when Portis is open and getting him the ball quickly, which is allowing the Bucks to stretch the defense and create space. According to Second Spectrum, Giannis is averaging 4.5 potential assists per game, which is 5th in the league among players who have played at least 30 games. 

It's also worth noting that Giannis's improvement as a playmaker has been crucial in the Bucks' crunch-time situations. In the 4th quarter of games within 5 points, Giannis has a 42.1% assist percentage and a 10.5% turnover percentage, which is a huge improvement from last season. The Bucks are 12-5 in such situations this season, and Giannis's ability to make plays for himself and others has been a key factor. I think this aspect of his game is often overlooked, but it's what sets him apart from other dominant scorers and makes him a legitimate MVP candidate.",analysis,
"I've been watching a lot of Nikola Jokić's games this season and I think people are sleeping on how much he's improved his off-the-dribble game. His true shooting percentage on pull-up jumpers has increased from 44.1% last season to 51.4% this season, according to NBA.com. That's a huge jump, and it's allowed him to become almost unguardable in one-on-one situations. I broke down some of his games and noticed that he's been using a lot of hesitation moves to get defenders off balance, and then he's using his incredible footwork to get into his shooting pocket. 

It's also worth noting that Jokić is doing this while still maintaining an elite level of playmaking ability. He's averaging 8.1 assists per game, which is third in the league among centers, and his assist percentage is up to 34.6%, which is the highest of his career. This is making it really tough for defenses to game plan against him, because they can't just focus on taking away his scoring - they also have to worry about him setting up his teammates for easy baskets. 

I think this improvement in Jokić's off-the-dribble game is a big reason why the Nuggets have been so successful this season, despite some injuries to key players. They're currently second in the West, and Jokić is a big reason why. His ability to create for himself and others is allowing them to maintain a top-5 offense even when they're not at full strength. If he keeps playing like this, I think he's got a real shot at MVP.",analysis,
"I've been rewatching some of the Nuggets' games from last season and I'm convinced that Nikola Jokic's post-up game is the key to their offense. He's averaging 1.03 points per possession in the post, which is 4th in the league among players with at least 200 post-up possessions. What's even more impressive is his ability to draw fouls - he's got a 14.1% free throw rate in the post, which is 2nd only to Giannis among big men. 

The way he uses his footwork to create space and seal his defender is incredibly effective. He's got a quick spin move that allows him to get his back to the basket, and from there he can use his strength to finish or kick it out to an open shooter. The Nuggets' offense is at its best when Jokic is getting touches in the post - they're scoring 113.5 points per 100 possessions when he's getting post-up opportunities, compared to 105.5 when he's not. 

I think this is an area where the Nuggets can exploit teams that switch on defense. Jokic is too skilled for most centers to guard one-on-one, and when teams switch, he can use his quickness to get around smaller defenders. The Nuggets should be looking to get him the ball in the post more often, especially in the playoffs when teams are more likely to switch on defense. It's a reliable way to get a good shot or draw a foul, and it opens up opportunities for their shooters to get open looks.",analysis,
"I've been watching a lot of Giannis footage lately and I think people are underselling his improvement as a playmaker. Last season, he averaged 5.9 assists per game, which is a significant jump from the 4.8 he averaged in 2020-2021. But what's more impressive is his ability to read defenses and make precision passes out of the post. According to Second Spectrum, Giannis has increased his pass percentage out of post-ups from 24.1% in 2020-2021 to 31.4% last season. This isn't just about volume - he's also getting more efficient, with a 10.4% increase in assists per 100 post-ups.

What's interesting is how this development is allowing the Bucks to create more scoring opportunities. When Giannis is playing as a hub, Milwaukee's offense is scoring 111.5 points per 100 possessions, which is 4.5 points more than when he's not. This is because he's drawing help defenders and kicking it out to shooters like Khris Middleton and Pat Connaughton, who are combining to shoot 38.5% from three. It's not just about Giannis's own improvement, but how it's elevating the players around him. 

I think this is a crucial aspect of the Bucks' championship aspirations. If Giannis can continue to develop as a playmaker, it's going to be incredibly difficult for teams to defend them. They'll have to choose between helping on Giannis in the post or staying home on the shooters, and either way, the Bucks will have a numbers advantage. It's an exciting development, and I'm looking forward to seeing how it plays out this season.",analysis,
"I've been watching a lot of Giannis Antetokounmpo's game footage lately and I think people are sleeping on his post-up game. Last season, Giannis had a 54.5% true shooting percentage in post-up situations, which is elite. For comparison, Joel Embiid had a 52.4% true shooting percentage in post-up situations last season. What's even more impressive is that Giannis is getting to the line at an incredible rate when he posts up - 27.5% of his post-up possessions ended in free throws, which is tops in the league among players with at least 100 post-up possessions. 

Now, I know some people might say that Giannis' post-up game is still developing, but the numbers don't lie. He's already one of the most efficient post scorers in the league, and he's only getting better. The Bucks have also been using him in more creative ways in the post, often having him start on the weak side and then seal his man on the strong side. This allows him to use his quickness and strength to get easy buckets or draw fouls. 

One specific play that stood out to me was in the Bucks' game against the Lakers last month. Giannis posted up Anthony Davis on the left block, and then used a quick spin move to get around him and finish with a dunk. The play was impressive not just because of the finish, but because of the way Giannis used his footwork to create space and get around Davis. It's plays like these that show why Giannis is already one of the most dominant forces in the league, and why his post-up game is a major part of his arsenal.",analysis,
"I've been watching a lot of Nikola Jokic's games lately and I think people are sleeping on his improvement as a post defender. Last season, he allowed 0.83 points per possession in the post, which ranked 12th among big men who played at least 500 minutes. This year, he's down to 0.65 points per possession, which is 5th among the same group. What's interesting is that his defensive stance hasn't changed much - he's still playing with a relatively high center of gravity and isn't overly aggressive in terms of fronting or helping. 

The key difference is that he's doing a much better job of using his feet to cut off driving lanes and staying in front of his man. According to Second Spectrum tracking data, Jokic is allowing opponents to shoot just 38.5% on post-ups, which is down from 45.1% last season. He's also been more selective about when to double-team, which has helped to limit the number of open threes and layups that result from his post defense. The Nuggets have been using a drop coverage on pick-and-rolls involving Jokic, which allows him to stay close to the basket and protect the paint. 

It's worth noting that Jokic's improvement as a post defender has been a key factor in the Nuggets' overall defensive improvement. They're currently 7th in the league in defensive efficiency, which is up from 16th last season. While it's easy to get caught up in Jokic's incredible offense, his growth as a defender is what's really taking the Nuggets to the next level. I think he's a legitimate DPOY candidate if he can keep up this level of performance on both ends of the floor.",analysis,
"I've been watching a lot of Celtics games lately and I think one of the most underrated aspects of their offense is the way they use Al Horford as a release valve in transition. When you look at the numbers, Horford is shooting 43.8% from three on the season, but what's really impressive is that he's making 51.4% of his catch-and-shoot threes. This is huge because it allows the Celtics to push the pace and get easy looks before the defense can set up. 

According to Second Spectrum, the Celtics are averaging 1.23 points per possession when Horford shoots a catch-and-shoot three in transition, which is significantly higher than their overall offense. You can see this play out on film too - Jayson Tatum will often grab a rebound and immediately look to push the ball up the court, drawing the defense to him before kicking it to Horford for an open three. It's a simple but incredibly effective way to get easy points, and it's a big reason why the Celtics have been able to maintain a top-5 offense despite some injuries to key players.

What's even more impressive is that Horford is doing this while playing alongside a bunch of other high-usage guys - Tatum, Jaylen Brown, and Kemba Walker all have high usage rates, but Horford is still managing to find his spots and make a huge impact. I think this is a big reason why the Celtics have been able to stay afloat in the East, and it's something they can continue to build on as they head into the playoffs.",analysis,
